Country,Price of Big Mac (USD),Price difference,Big Mac Index
Switzerland,$8.07,41.76%,6.71
Uruguay,$7.07,24.29%,6.08
Norway,$6.77,18.94%,6.26
Argentina,$6.55,15.03%,4.57
United Kingdom,$5.90,3.61%,
United States,$5.69,,5.15
Denmark,$5.66,-0.61%,
Costa Rica,$5.62,-1.15%,3.91
Sweden,$5.60,-1.61%,5.59
Canada,$5.52,-3.06%,5.25
Poland,$5.27,-7.44%,3.59
Lebanon,$5.14,-9.72%,5.08
Mexico,$5.10,-10.38%,3.43
Saudi Arabia,$5.06,-11%,4.53
Australia,$5.06,-11.06%,4.63
New Zealand,$4.99,-12.32%,4.43
Venezuela,$4.97,-12.72%,1.76
Singapore,$4.97,-12.63%,4.24
Colombia,$4.90,-13.84%,3.48
United Arab Emirates,$4.90,-13.87%,4.9
Turkey,$4.68,-17.73%,2.68
Czech Republic,$4.63,-18.60%,3.97
Kuwait,$4.58,-19.47%,4.23
Peru,$4.55,-20.12%,3.57
Chile,$4.54,-20.20%,3.66
Israel,$4.52,-20.57%,4.95
Bahrain,$4.51,-20.75%,4.24
Nicaragua,$4.34,-23.70%,3.87
Brazil,$4.23,-25.69%,4.25
Honduras,$4.11,-27.70%,3.62
Guatemala,$4,-29.66%,3.36
South Korea,$3.99,-29.79%,3.5
Oman,$3.97,-30.16%,3.69
Hungary,$3.90,-31.47%,2.65
Qatar,$3.85,-32.42%,3.57
Pakistan,$3.82,-32.85%,3.16
Thailand,$3.79,-33.44%,3.5
Azerbaijan,$3.62,-36.42%,2.77
Moldova,$3.57,-37.20%,3.11
China,$3.53,-37.99%,3.56
Romania,$3.53,-37.92%,2.28
Jordan,$3.53,-38.03%,3.24
Japan,$3.19,-43.93%,2.83
Vietnam,$3.01,-47.10%,2.95
Hong Kong,$2.94,-48.26%,2.68
Ukraine,$2.87,-49.48%,
Philippines,$2.86,-49.72%,2.75
Malaysia,$2.86,-49.70%,2.45
South Africa,$2.85,-49.86%,2.34
India,$2.75,-51.72%,2.39
Egypt,$2.47,-56.61%,2.43
Indonesia,$2.46,-56.77%,2.34
Taiwan,$2.28,-59.90%,2.51
Sri Lanka,,,3.72
